record_id,mainshock_id,subgroup_type,subgroup,n_events,p,p_lo,p_hi,mainshock_mag,pop_sum_10km,pop_mean_10km,pop_max_10km,pop_sum_25km,pop_mean_25km,pop_max_25km,pop_sum_50km,pop_mean_50km,pop_max_50km,pop_sum_subgroup,pop_mean_subgroup,pop_max_subgroup,analysis_included
us7000e532|region|West_of_ms,us7000e532,region,West_of_ms,25,0.5575472286435172,0.2224659360597927,0.762636311181485,6.1,72443.04417282622,517.4503155201874,17940.517578125,425992.8376179076,544.7478741916976,17940.517578125,1276983.9703764252,382.5596076622005,17940.517578125,7712442.710335938,178.49984285731335,40008.8359375,True
us7000e532|region|East_of_ms,us7000e532,region,East_of_ms,26,0.7051857430532015,0.408485300183861,0.8896234208396095,6.1,72443.04417282622,517.4503155201874,17940.517578125,425992.8376179076,544.7478741916976,17940.517578125,1276983.9703764252,382.5596076622005,17940.517578125,31742587.5388824,283.4184906908312,57133.4140625,True
us7000e532|region|South_of_ms,us7000e532,region,South_of_ms,26,0.8335151189525962,0.6653631205150315,1.046686565653794,6.1,72443.04417282622,517.4503155201874,17940.517578125,425992.8376179076,544.7478741916976,17940.517578125,1276983.9703764252,382.5596076622005,17940.517578125,27819874.123544943,267.8877420441694,45307.40234375,True
us7000e532|region|North_of_ms,us7000e532,region,North_of_ms,25,0.2127540867517485,0.2,0.5142140091061033,6.1,72443.04417282622,517.4503155201874,17940.517578125,425992.8376179076,544.7478741916976,17940.517578125,1276983.9703764252,382.5596076622005,17940.517578125,11635156.125673387,226.55443514366857,57133.4140625,True
us7000i59t|region|East_of_ms,us7000i59t,region,East_of_ms,31,0.2506141033412984,0.2,0.5039254860734906,6.6,7932.310272700928,220.34195201947023,999.4671630859376,56812.53266811671,373.7666622902415,9097.85546875,444813.9362812862,584.5123998440029,22195.427734375,80084531.77458161,477.3357717797848,105077.6953125,True
us7000i59t|region|South_of_ms,us7000i59t,region,South_of_ms,41,0.2,0.2,0.4329025223244558,6.6,7932.310272700928,220.34195201947023,999.4671630859376,56812.53266811671,373.7666622902415,9097.85546875,444813.9362812862,584.5123998440029,22195.427734375,38338722.51185824,367.27135793250415,105077.6953125,True
usb000gcdd|depth|6.3-10km,usb000gcdd,depth,6.3-10km,43,1.1680780799434805,1.029331429068849,1.4267906510115491,6.6,40802.38997167957,887.008477645208,7953.6240234375,162926.0630670225,395.45160938597695,10610.546875,996480.1561924346,415.5463537082713,21310.2734375,101302789.83691648,480.1626243597209,105077.6953125,True
usb000gcdd|depth|>=10km,usb000gcdd,depth,>=10km,44,0.7502590255676652,0.5754333943531655,0.9310817506241154,6.6,40802.38997167957,887.008477645208,7953.6240234375,162926.0630670225,395.45160938597695,10610.546875,996480.1561924346,415.5463537082713,21310.2734375,101302789.83691648,480.1626243597209,105077.6953125,True
usb000gcdd|region|East_of_ms,usb000gcdd,region,East_of_ms,70,0.9965023326205058,0.9007718415797566,1.1147640899401556,6.6,40802.38997167957,887.008477645208,7953.6240234375,162926.0630670225,395.45160938597695,10610.546875,996480.1561924346,415.5463537082713,21310.2734375,95229521.00360271,486.3810625745828,105077.6953125,True
usb000gcdd|region|South_of_ms,usb000gcdd,region,South_of_ms,57,0.917795804361024,0.8268691174884875,1.041364345161954,6.6,40802.38997167957,887.008477645208,7953.6240234375,162926.0630670225,395.45160938597695,10610.546875,996480.1561924346,415.5463537082713,21310.2734375,55575618.87235384,440.8279372127915,105077.6953125,True
